i386|main|bacula-sd|bextract,bacula-sd,bls,btape
i386|main|b43-fwcutter|b43-fwcutter
i386|main|bsd-mailx|bsd-mailx
i386|main|bluez|hciattach,rfcomm,sdptool,hciconfig,hciemu,hcitool,bluetooth-agent,dfutool,l2ping,ciptool,bccmd,bluetoothd
all|main|byobu|byobu-status-detail,byobu-config,byobu-export,byobu,byobu-select-profile,byobu-janitor,motd+shell,byobu-status,byobu-launcher
i386|main|libboost-python1.38-dev|pyste
i386|main|libboost1.38-dev|bcp
i386|main|ccache|ccache
all|main|cdbs|cdbs-edit-patch
i386|main|cdparanoia|cdparanoia
all|main|checksecurity|checksecurity
i386|main|chkrootkit|chklastlog,chkwtmp,chkrootkit
i386|main|chrpath|chrpath
i386|main|coreutils|tty,basename,uname,sleep,ptx,touch,yes,sha1sum,cut,ln,base64,tr,pathchk,tail,ls,factor,vdir,df,dd,sha256sum,stty,du,hostid,unexpand,csplit,logname,whoami,dir,sha512sum,chcon,mkfifo,sync,runcon,fold,mknod,dirname,mktemp,uniq,sum,rm,dircolors,sha224sum,wc,tsort,shuf,comm,nohup,groups,[,sha384sum,paste,od,shred,cksum,chmod,echo,printf,cp,pr,seq,fmt,mkdir,rmdir,sort,head,tee,pwd,link,true,join,expr,md5sum,cat,mv,install,false,pinky,tac,id,chroot,nl,chgrp,split,env,test,nice,stat,users,truncate,who,md5sum.textutils,readlink,date,unlink,arch,expand,chown,printenv
i386|main|cpio|mt,cpio,mt-gnu
i386|main|cracklib-runtime|update-cracklib,cracklib-format,create-cracklib-dict,cracklib-packer,cracklib-unpacker,cracklib-check
i386|main|cramfsprogs|cramfsck,mkcramfs
all|main|cricket|cricket-compile
i386|main|cron|cron,crontab
i386|main|curl|curl
i386|main|libcurl4-gnutls-dev|curl-config
i386|main|libcurl4-openssl-dev|curl-config
i386|main|cvs|cvs-pserver,cvs,rcs2log
i386|main|sasl2-bin|sasldbconverter2,saslpluginviewer,testsaslauthd,saslfinger,sasldblistusers2,sasl-sample-client,saslpasswd2,sasl-sample-server,saslauthd
i386|main|casper|casper-login,casper-getty,casper-new-uuid,casper-snapshot
all|main|ubiquity-casper|casper-reconfigure
i386|main|cloop-utils|extract_compressed_fs,create_compressed_fs
all|main|cli-common-dev|dh_auto_clean_nant,dh_clifixperms,dh_clideps,dh_cligacpolicy,dh_makeclilibs,dh_clistrip,dh_auto_build_nant,dh_installcligac
all|main|cup|cup
i386|main|libcppunit-dev|cppunit-config,DllPlugInTester
all|main|ca-certificates|update-ca-certificates
i386|main|cdrdao|cdrdao,toc2cue,toc2cddb
i386|main|genisoimage|isoinfo,isovfy,mkisofs,geteltorito,genisoimage,mkzftree,isodump,devdump,dirsplit
i386|main|wodim|netscsid,readom,wodim,cdrecord
all|main|bdf2psf|bdf2psf
all|main|console-setup|setupcon,ckbcomp
i386|main|cmake|cpack,cmake,ctest
i386|main|compiz-core|compiz-decorator,compiz-manager,compiz.real
i386|main|compiz-gnome|gtk-window-decorator
i386|main|compiz-wrapper|compiz
i386|main|consolekit|ck-log-system-stop,ck-history,ck-launch-session,ck-list-sessions,ck-log-system-restart,ck-log-system-start,console-kit-daemon
i386|main|cryptsetup|luksformat,cryptsetup,cryptdisks_start,cryptdisks_stop
i386|main|cheese|cheese
i386|main|cups-bsd|lprm,lpc,lpr,lpq
i386|main|cups-client|cupsaccept,cupsdisable,lpadmin,cupsctl,cupsaddsmb,lppasswd,lpstat,lpinfo,accept,lpoptions,cupstestdsc,cupsenable,lp,reject,cancel,cupstestppd,cupsreject,lpmove
i386|main|cups|cupsd,cupsfilter
i386|main|libcups2-dev|cups-config
all|main|compiz-fusion-bcop|bcop
i386|main|camlp5|camlp5o,camlp5o.opt,camlp5,camlp5r.opt,mkcamlp5.opt,camlp5sch,mkcamlp5,ocpp5,camlp5r
i386|main|corosync|corosync-fplay,corosync-cfgtool,corosync-keygen,corosync-objctl,corosync-pload,corosync
i386|main|clamav|clamscan,sigtool
i386|main|clamav-daemon|clamd,clamconf,clamdtop,clamdscan
i386|main|clamav-freshclam|freshclam
i386|main|libclamav-dev|clamav-config
i386|main|jsvc|jsvc
i386|main|crash|crash
all|main|checkbox-cli|checkbox-cli
all|main|checkbox-gtk|checkbox-gtk
all|main|checkbox|checkbox-backend
all|main|computer-janitor-gtk|computer-janitor-gtk
all|main|computer-janitor|computer-janitor
i386|main|libcloog-ppl-dev|cloog
i386|main|cvsps|cvsps
i386|main|choqok|choqok
i386|main|couchdb-bin|couchjs,couchdb
i386|main|python-cheetah|cheetah,cheetah-compile
all|main|d-shlibs|d-shlibmove,d-devlibdeps
i386|main|dash|dash
all|main|dbs|dbs-edit-patch
i386|main|dbus-x11|dbus-launch
i386|main|dbus|dbus-daemon,dbus-uuidgen,dbus-send,dbus-cleanup-sockets,dbus-monitor
all|main|debconf-utils|debconf-get-selections,debconf-getlang,debconf-loadtemplate,debconf-mergetemplate
all|main|debconf|debconf,debconf-show,debconf-escape,debconf-apt-progress,debconf-communicate,debconf-set-selections,debconf-copydb,dpkg-preconfigure,dpkg-reconfigure
all|main|debhelper|dh_installexamples,dh_prep,dh_installdeb,dh_installchangelogs,dh_gencontrol,dh_builddeb,dh_installudev,dh_fixperms,dh_installinit,dh_testroot,dh_clean,dh_auto_test,dh_installmime,dh,dh_installcron,dh_makeshlibs,dh_installxfonts,dh_md5sums,dh_installlogrotate,dh_installdirs,dh_installmanpages,dh_perl,dh_shlibdeps,dh_listpackages,dh_compress,dh_icons,dh_installmenu,dh_install,dh_installman,dh_installifupdown,dh_auto_install,dh_installmodules,dh_gconf,dh_auto_clean,dh_installcatalogs,dh_installpam,dh_undocumented,dh_installlogcheck,dh_strip,dh_testversion,dh_installdebconf,dh_installdocs,dh_installwm,dh_installppp,dh_auto_build,dh_link,dh_installemacsen,dh_testdir,dh_auto_configure,dh_desktop,dh_suidregister,dh_movefiles,dh_usrlocal,dh_python,dh_scrollkeeper,dh_lintian,dh_bugfiles,dh_installinfo
all|main|debian-goodies|dzgrep,dgrep,dpigs,debget,checkrestart,popbugs,debman,which-pkg-broke,degrep,dhomepage,debmany,dfgrep,dglob
all|main|debiandoc-sgml|debiandoc2textov,debiandoc2html,debiandoc2latexpdf,debiandoc2docbookxml,debiandoc2ps,debiandoc2info,debiandoc2pdf,debiandoc2dvi,debiandoc2sgml,debiandoc2latex,debiandoc2xml,debiandoc2latexdvi,debiandoc2latexps,debiandoc2text,debiandoc2wiki,debiandoc2texinfo
i386|main|debianutils|installkernel,tempfile,add-shell,remove-shell,sensible-browser,savelog,sensible-pager,which,run-parts,mkboot,select-editor,sensible-editor
all|main|debootstrap|debootstrap
all|main|defoma|defoma-hints,defoma,dh_installdefoma,defoma-user,defoma-reconfigure,defoma-id,defoma-subst,defoma-font,defoma-app
all|main|psfontmgr|defoma-psfont-installer
all|main|dejagnu|runtest
i386|main|desktop-file-utils|desktop-file-install,desktop-file-validate,update-desktop-database
i386|main|devhelp|devhelp
i386|main|dmsetup|dmsetup
i386|main|devscripts|cvs-debi,mergechanges,wnpp-alert,deb-reversion,bts,chdist,cvs-debc,cvs-debrelease,mk-build-deps,cowpoke,uscan,checkbashisms,debchange,nmudiff,debdiff,dcmd,rc-alert,list-unreleased,svnpath,dscverify,build-rdeps,archpath,dch,mass-bug,whodepends,debclean,debcommit,dget,who-uploads,transition-check,pts-unsubscribe,tagpending,grep-excuses,debi,rmadison,annotate-output,debrsign,dpkg-depcheck,debc,diff2patches,debsnap,debpkg,manpage-alert,plotchangelog,dpkg-genbuilddeps,debcheckout,dd-list,uupdate,debsign,dcontrol,cvs-debuild,debrelease,wnpp-check,desktop2menu,pts-subscribe,licensecheck,debuild,getbuildlog,namecheck
all|main|dh-buildinfo|dh_buildinfo
all|main|dh-make|dh_make
i386|main|dhcp3-client|dhclient3,dhclient-script,dhclient
i386|main|dhcp3-common|omshell
i386|main|dhcp3-server|dhcpd3
i386|main|dia-gnome|dia-gnome,dia
all|main|dictionaries-common-dev|installdeb-hunspell,installdeb-ispell,installdeb-wordlist,installdeb-myspell,installdeb-aspell
all|main|dictionaries-common|select-default-ispell,ispell-autobuildhash,remove-default-wordlist,update-openoffice-dicts,remove-default-ispell,update-default-wordlist,update-default-aspell,update-dictcommon-aspell,select-default-iwrap,aspell-autobuildhash,update-default-ispell,ispell-wrapper,select-default-wordlist,update-dictcommon-hunspell
i386|main|diffstat|diffstat
i386|main|libdirectfb-dev|directfb-csource,directfb-config
i386|main|dmake|dmake
i386|main|dmidecode|dmidecode,vpddecode,ownership,biosdecode
i386|main|dnstracer|dnstracer
all|main|doc-base|install-docs
all|main|docbook-dsssl|collateindex.pl
i386|main|docbook-to-man|docbook-to-man,instant
all|main|docbook-utils|sgmldiff,docbook2ps,docbook2dvi,docbook2man,docbook2txt,jw,docbook2texi,db2rtf,db2html,docbook2tex,docbook2html,db2dvi,docbook2rtf,db2pdf,docbook2pdf,db2ps
all|main|docbook-xsl|dbtoepub
i386|main|dosfstools|mkdosfs,fsck.msdos,dosfsck,mkfs.msdos,fsck.vfat,mkfs.vfat,dosfslabel
i386|main|dovecot-common|dovecotpw,dovecot,convert-tool,maildirmake.dovecot
i386|main|doxygen|doxygen,doxytag
all|main|dpatch|dpatch-cowdancer-patch,dpatch-convert-diffgz,dpatch-list-patch,dpatch,dpatch-edit-patch,dpatch-get-origtargz
all|main|dpkg-dev|dpkg-scanpackages,dpkg-genchanges,dpkg-shlibdeps,dpkg-architecture,dpkg-gensymbols,dpkg-scansources,dpkg-buildpackage,dpkg-source,dpkg-vendor,dpkg-gencontrol,dpkg-checkbuilddeps,dpkg-parsechangelog,dpkg-distaddfile,dpkg-name
i386|main|dpkg|dpkg-statoverride,install-info,dpkg-deb,start-stop-daemon,update-alternatives,dpkg-trigger,dpkg-query,dpkg-divert,dpkg,dpkg-split
i386|main|dselect|dselect
all|main|dpsyco-devel|dpsch-cvsclean,dpsch-backupclean,dpsch-installuserskel,dpsch-installpatch,dpsch-installuserpatch,dpsch-gendepends,dpsch-listbinpkgs,dpsch-installgroups,dpsch-installcfengine,dpsch-installcronapt,dpsch-installusers,dpsch-auto-cronapt,dpsch-gencvsignore,dpsch-installskel,dpsch-genpkg,dpsch-showfirstbinpkg
all|main|dpsyco-lib|dpsyco-applypatch,dpsyco-skel,dpsyco-patch
all|main|dupload|dupload
i386|main|dvd+rw-tools|rpl8,dvd+rw-booktype,dvd+rw-mediainfo,dvd+rw-format,dvd-ram-control,btcflash,growisofs
i386|main|dict|colorit,dict,dictl
i386|main|dictd|dictd,dictdconfig
i386|main|dictfmt|dictunformat,dictfmt_index2word,dictfmt_index2suffix,dictfmt
i386|main|dictzip|dictzip,dictzcat,dictunzip
all|main|dput|dcut,dput
i386|main|diff|diff,diff3,sdiff,cmp
i386|main|docbook2x|db2x_xsltproc,docbook2x-texi,sgml2xml-isoent,db2x_texixml,utf8trans,db2x_manxml,docbook2x-man
i386|main|db4.7-util|db4.7_hotbackup,db4.7_checkpoint,db4.7_recover,db4.7_codegen,berkeley_db4.7_svc,db4.7_archive,db4.7_printlog,db4.7_verify,db4.7_deadlock,db4.7_dump,db4.7_upgrade,db4.7_load,db4.7_stat
i386|main|dctrl-tools|grep-status,join-dctrl,sync-available,grep-dctrl,sort-dctrl,tbl-dctrl,grep-aptavail,grep-available,grep-debtags
i386|main|libdbus-glib-1-dev|dbus-binding-tool
i386|main|dcraw|dcfujiturn,dcraw,dccleancrw,dcparse,dcfujiturn16,dcfujigreen
i386|main|digikam|digitaglinktree,digikam,cleanup_digikamdb
i386|main|showfoto|showfoto
i386|main|device-tree-compiler|dtc
all|main|dblatex|dblatex
all|main|dkms|dkms
all|main|dpkg-awk|dpkg-awk
i386|main|drbd8-utils|drbd-overview,drbdsetup,drbdmeta,drbdadm
i386|main|dnsmasq-base|dnsmasq
i386|main|dvipdfmx|dvipdfmx,extractbb
i386|main|dmraid|dmraid-activate,dmraid
all|main|dbconfig-common|dbconfig-generate-include,dbconfig-load-include
i386|main|dvipng|dvipng,dvigif
i386|main|devio|devio
all|main|dh-ocaml|dom-safe-pull,dh_ocaml,dom-save-patches,dom-mrconfig,dom-git-checkout,dom-apply-patches,dom-new-git-repo
i386|main|devicekit-power|devkit-power
i386|main|devicekit-disks|umount.devkit,devkit-disks
i386|main|desktop-switcher|desktop-switcher,gconf-panel-saving.sh
i386|main|libdotconf-dev|dotconf-config
all|main|dh-di|dh_di_numbers,dh_di_kernel_install,dh_di_kernel_gencontrol
i386|main|comerr-dev|compile_et
